City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,74.01,few clouds,-23.1203,-134.9692,People ThankYou
10,Ocampo,MX,71.74,scattered clouds,21.65,-101.5,Casa de ratas
16,Kurchum,KZ,65.37,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
23,Hanzhong,CN,68.45,light rain,33.0728,107.0303,Guorui Hotel
25,Vaini,TO,68.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
33,Miri,MY,73.54,heavy intensity rain,4.4148,114.0089,"Mega Hotel, Miri"
35,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Vao,NC,67.23,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
58,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
60,Lagoa,PT,68.43,clear sky,39.05,-27.9833,Casa Das Faias
61,Xichang,CN,68.83,moderate rain,27.8964,102.2634,Xichang ibis Hotel
65,Saint-Joseph,RE,70.16,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
72,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
73,Carnarvon,AU,66.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
77,Chuy,UY,67.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Montepuez,MZ,66.85,scattered clouds,-13.1256,38.9997,PembaAparthotel
85,San Quintin,MX,73.89,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
88,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
89,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Isangel,VU,69.91,haze,-19.55,169.2667,Tanna Lodge
100,Sept-Iles,CA,72.12,broken clouds,50.2001,-66.3821,Comfort Inn
106,La Libertad,EC,72.03,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
112,Torbay,CA,73.89,broken clouds,47.6666,-52.7314,Gallows Cove
116,Loa Janan,ID,74.39,light rain,-0.583,117.095,Rumah Elys Fitria Wahyuning Tyas
117,Antalaha,MG,66.69,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
135,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
137,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
138,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
147,Khani,GE,67.57,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
152,Beira,MZ,66.29,clear sky,-19.8436,34.8389,Beira Terrace Hotel
158,Namibe,AO,69.35,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
160,Havre-Saint-Pierre,CA,66.56,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
167,Loubomo,CG,70.0,broken clouds,-4.1997,12.6739,La Dolisienne
172,Akom,CM,67.68,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
179,Joshimath,IN,70.83,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
183,Primorsko,BG,70.27,clear sky,42.2667,27.7667,Villas Ropotamo
187,Bad Reichenhall,DE,65.61,light rain,47.7333,12.8833,AMBER HOTEL BAVARIA Bad Reichenhall
195,Varia,FR,65.01,clear sky,44.5725,-0.1104,Au Clos Magnolia
199,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
201,La Ronge,CA,73.62,few clouds,55.1001,-105.2842,Northland Motor Hotel
204,Hohhot,CN,68.29,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
205,Homer,US,69.08,clear sky,59.6425,-151.5483,Beluga Lake Lodge
211,Kerema,PG,74.25,overcast clouds,-7.9631,145.7785,Frena Lodge
212,Eregli,TR,66.74,overcast clouds,37.5133,34.0467,Hotel Fuat Bey
215,Chumphon,TH,72.93,broken clouds,10.3333,98.8333,สกาน จ๋า.
217,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
222,Pisco,PE,66.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
233,Juba,SS,73.56,clear sky,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
234,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
240,Teguise,ES,71.82,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
242,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
246,Nemuro,JP,67.98,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
247,Xiaoshi,CN,66.22,broken clouds,41.2971,124.1209,Junsheng Fengweilou Farmstay
249,Esfarayen,IR,73.06,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
255,Cairns,AU,68.11,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
258,Simao,CN,65.62,overcast clouds,22.7886,100.9748,Changyu Hotel
260,Vila Velha,BR,67.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
262,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
274,Cadiz,ES,71.02,clear sky,36.5,-5.75,Hacienda Barriche
293,Sale,MA,72.28,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
297,Kalemie,CD,73.92,overcast clouds,-5.9475,29.1947,Mahobilali
303,Camacha,PT,70.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
305,Paraiso,CR,71.89,broken clouds,9.8383,-83.8656,Rinconcito Verde
309,Rongcheng,CN,74.86,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
316,Chekhov,RU,73.35,overcast clouds,55.1431,37.4711,Domik v derevne
320,Krasnoarmeysk,RU,67.06,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
328,Peniche,PT,68.72,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
333,Karratha,AU,69.67,broken clouds,-20.7377,116.8463,ibis Styles Karratha
335,Tlacotepec,MX,73.11,scattered clouds,20.0667,-97.8667,RANCHO LA ILUSION
337,Kishi,NG,71.73,overcast clouds,9.0833,3.85,New NCCF KISI
346,Zhangye,CN,68.31,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
348,Saint-Felicien,CA,70.48,broken clouds,48.6501,-72.4491,Hôtel du Jardin
353,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
355,Jining,CN,74.41,light rain,35.405,116.5814,Yunhe Star Hotel
357,Bima,ID,73.33,overcast clouds,-8.4667,118.7167,Lambitu Hotel
363,Port Arthur,CN,73.62,clear sky,38.8,121.2667,Friendship Hotel
367,Trenggalek,ID,73.71,scattered clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
372,Jiayuguan,CN,67.95,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
376,Carmaux,FR,67.71,overcast clouds,44.051,2.158,Café Hôtel Le Gambetta
377,El Cope,PA,74.66,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
384,Moyale,KE,68.31,scattered clouds,3.5167,39.0584,La Tahzan Guest House
390,Hachinohe,JP,73.98,overcast clouds,40.5,141.5,Hachinohe Grand Hotel
391,Kenai,US,69.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
401,Severnyy,RU,69.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
410,Bonavista,CA,71.6,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
433,Faro,PT,74.98,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
457,Fortuna,US,71.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
459,Tura,IN,74.73,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
461,West Lake Stevens,US,70.2,overcast clouds,47.9934,-122.1018,Mansion Inn Lake Stevens
