City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2021-08-07 19:02:13,68.75,161.3,53.35,55,76,4.83
1,Mataura,NZ,2021-08-07 19:06:55,-46.1927,168.8643,34.48,99,100,1.28
2,Atuona,PF,2021-08-07 19:06:56,-9.8,-139.0333,76.98,82,100,17.11
3,Ushuaia,AR,2021-08-07 19:04:21,-54.8,-68.3,29.86,100,90,18.41
4,Geraldton,AU,2021-08-07 19:06:56,-28.7667,114.6,63.01,94,40,10.36
5,Faya,SA,2021-08-07 19:04:49,18.3851,42.4509,64.92,67,12,4.36
6,Quelimane,MZ,2021-08-07 19:06:56,-17.8786,36.8883,71.55,78,0,4.61
7,College,US,2021-08-07 19:06:57,64.8569,-147.8028,58.95,91,75,5.75
8,Port Alfred,ZA,2021-08-07 19:06:57,-33.5906,26.891,59.95,85,84,14.09
9,Puerto Ayora,EC,2021-08-07 19:06:57,-0.7393,-90.3518,73.54,83,71,8.99
10,Pingliang,CN,2021-08-07 19:06:58,35.5392,106.6861,65.3,61,77,3.29
11,Barrow,US,2021-08-07 19:04:14,71.2906,-156.7887,35.62,78,90,6.91
12,Hegang,CN,2021-08-07 19:06:58,47.4,130.3667,60.82,94,100,9.19
13,Kenema,SL,2021-08-07 19:06:58,7.8767,-11.1875,75.94,75,90,3.36
14,Ouesso,CG,2021-08-07 19:02:14,1.6136,16.0517,71.49,95,95,0.96
15,Yellowknife,CA,2021-08-07 19:06:59,62.456,-114.3525,59.29,84,100,13.71
16,Salalah,OM,2021-08-07 19:06:20,17.0151,54.0924,78.89,89,90,6.91
17,Tasiilaq,GL,2021-08-07 19:05:07,65.6145,-37.6368,44.76,95,100,6.8
18,Hilo,US,2021-08-07 19:03:02,19.7297,-155.09,78.53,83,90,3.44
19,Zhigansk,RU,2021-08-07 19:06:59,66.7697,123.3711,63.84,42,100,15.52
20,Ushtobe,KZ,2021-08-07 19:07:00,45.2514,77.9838,71.19,30,0,6.49
21,Banff,CA,2021-08-07 19:07:00,51.1762,-115.5698,64.47,49,100,8.08
22,Mahebourg,MU,2021-08-07 19:05:00,-20.4081,57.7,71.26,74,6,12.62
23,Albany,US,2021-08-07 19:04:16,42.6001,-73.9662,87.8,62,98,2.59
24,Pimenta Bueno,BR,2021-08-07 19:07:00,-11.6725,-61.1936,98.53,17,0,3.49
25,Torva,EE,2021-08-07 19:07:01,58.0028,25.935,62.94,97,1,5.46
26,Dandong,CN,2021-08-07 19:03:39,40.1292,124.3947,68.99,91,3,5.14
27,Ambilobe,MG,2021-08-07 19:07:01,-13.2,49.05,69.8,84,89,3.27
28,Matagami,CA,2021-08-07 19:07:01,49.7502,-77.6328,66.58,39,3,6.15
29,Hobart,AU,2021-08-07 19:02:34,-42.8794,147.3294,35.46,85,97,3.0
30,Ileza,RU,2021-08-07 19:07:02,61.0533,43.9002,56.82,73,96,6.78
31,Saskylakh,RU,2021-08-07 19:07:02,71.9167,114.0833,48.52,78,100,6.93
